year,review
2015,I find value in this app. Keep up the good work. Love the calculator feature 😊👏🏻
2015,I've been looking for something like this for awhile.
2015,I love the problems and the interaction with an international community of math enthusiasts.
2015,Finally a challenging app that makes me think. Keeps me entertained for ages. ☺️👌🏽 A+
2015,Must have for people who like to solve difficult and challenging problems.
2015,If you are just wanting to do some hard work to but that brain of yours to work every day this is the app ^-^
2015,It's a really cool app to brush up on mathematics.
2015,I really like this app. It makes me think and work.
2015,"Brilliant has a wonderful community and this application is wonderful. Sure, a lot of the features are worth money — but in my opinion its worth every cent."
2016,"Awesome, thoughtful and engaging. Challenging yet approachable."
2016,fun daily problems
2016,I was looking for an app that would stimulate my mind without it being frustration on social media while also being highly applicable to life and personal. That's this app.
2016,But like this app.
2016,Brilliant is a great way to stay mentally spry
2016,"I'm happy to know this app before 2016 ended. It's definitely the best app of the year. I was very bad and afraid of math when I was a kid. But this app—omg this brilliant app!—it reminds me the happiness in math. I cordially hope you guys can keep growing. Great job! 
(Disclaimer: this is not ad s*it. This is my dam* thankfulness from the bottom of my dam* heart.)"
2016,"The quizzes are fun and challenging, and the range of topics is baffling! Really enjoying so far."
2016,The title describes it. Great for any mature teenager to adult.
2016,This is such a cool concept and I feel more intelligent every time I open this app. I would like to see more ads to keep cost down so I can do a one time fee of 1$ instead of a ten dollar fee every month
2016,I really enjoy the promts. They help me improve my solving problem skill :))))))
2016,I rarely give reviews to apps but For this one I am willing to give the best worth 5 stars. I love math and this is something I wanted to play for a while. It reminds me of a lot of the things I learned in school and it is very refreshing. Thanks for creating this app!
2016,Great for higher thinking. Feels good to do some challenging math problems.
2016,"It can go from simple to quite complex very quickly, but I love that it's making me use skills I have used in years."
2016,"This app is a sweet tool for learning and stimulation. 

I'm a nerd/geek/engineer guy. I don't like playing cell phone games; my time is valuable. I don't get to do as interesting math in my job as I did in academia. As a result I've gotten rusty on a lot of the math and thinking skills emphasized in my coursework (complex geometry, logic games, trig, ...). Playing Brilliant gives me a refresher on those skills.

I bought the monthly subscription to this app cause it's a great companion for getting paid to poop."
2016,"-Extremely easy to navigate
-Interesting Topics 
-Great App to pass time with
-Solid information"
2016,This is a great educational app. It explains many things you've wondered about but never knew till now!
2016,It's fun and challenging
2016,The name is very fitting. Love trying this with my students.
2016,I like it.. good if you want different ways to challenge yourself with math problems
2016,This is a very good app for.
2016,It's fye🔥🔥
2016,Lot of questions for free
2016,Love it
2016,Nice questions and works well
2016,I am very impressed
2016,"This app contains a good number of math and science puzzles. If you like math then you will love this app. If not, then this app is not for you."
2016,It has a great deal of challenging questions and requires my students to think very critically.
2016,"Took advantage of Brilliant.org's most recent email discount.  I enjoy the challenge of even some of their simplest questions because I have discovered that I have forgotten a lot of the mathematics I learned in high school and in the military.  Had one tiny issue with billing, but was treated MOST fairly by Brilliant.org during the short, painless resolution process.  Five Stars from me!!!!"
2016,"I'm twelve so I do tests all the time.  I need to prepare for the tests, and this app helps me in doing so."
2016,Keeps my brain sharp and the math problems are a ton of fun.
2016,"Great, challenging game."
2016,Love the app and I encourage anyone who wants to learn to down load this.
2016,Great app for exercising my poor brain!
2016,Great content! Definitely something I will suggest to my friends and family.
2016,I play every day
2016,I enjoy this game a lot. It's very fun and has challenge
2016,This is exactly the type of app I've been looking for. Great questions for more complex thinkers and younger students.
