year,review
2016,A much better past time when life gives you a few minutes than any free to play app I've tried. The math gets a bit intense at times
2016,It's a great way to challenge your mind. The app is designed in a way that it is easy to use and fun to look at. :)
2016,"Nothing is perfect, but this one is close to that! :)"
2016,I wanna do harder stuff but I have to pay 5 dollars.
2016,"I think this is a great app, but I don't think the value is there to pay for the pro version - I wish it was priced a bit lower. 

Regardless, a great way to stay sharp."
2016,"It is a great brain teaser app to challenge you with logical mathematical and other questions but the gui just seems a lil hard to navigate, but I am just getting in to it"
2017,Decent app.
2017,"Most of the problems stump me, but I love the trying. I believe that most of it is way beyond my head, but I still try."
2017,Tests your intuition and ability to logically work through what you know about the question
2017,"The questions are very stimulating and the discussions that explain the problems are very helpful. However, so topics must be paid for to practice."
2017,Some good puzzles
2017,Very helpful app
2017,There are interesting questions that make you think a little.  It didn't hurt as much as I thought it would.
2017,I’m really enjoying the free puzzles and great explanations when I get something wrong.  It’s really easy to learn complex lessons with this app.  I don’t see myself paying for a subscription but it’d be nice if you could unlock certain subjects for a fee.  Like paying $2-3 to unlock the physics module etc.
2017,Super fun
2017,"Dynamic opportunities presented in a format that presses me to think outside of my mental boundaries  
The discussion of the solution among users add to the experience."
2017,"It's defiantly a great app to learn the BASICS of math. But you only get one session then your have to pay other wise. Also I've discovered a bug that is causing trouble. First things first I'm going to say, I do have Internet and I AM using it. Now every time I finish one of the begging tests, it will have me refresh and it'll say that I have no internet connection."
2017,Good tool for GRE prep in addition to gre specific  material
2017,A nice app with several great problem sets. Multiple solutions posted by users. Monthly cost is a little high for this service but still tempting.
2017,Gives me something to stretch the brain
2017,"I love the problems that are posted. Lots of pure mathematical fun.

I wish the 100 Day Challenge was accessible from the app. I can only get to it from the web site."
2018,I’ve only spent a half hour on brilliant but i already feel I retained what I learned and that I was engaged most of the time
2018,I really like this app. It is educational and enjoyable. Currently I am using only the free version. I would like to get the subscription but can’t right now.  A little too expensive for a month to month and don’t have the funds currently for a yearly subscription.
2018,"The app is great, but I wish the explanations had more to them. Sometimes they solution isn’t drawn out and the question asks you to imagine an item. I think more learning styles need to be accommodated."
2018,Yeet
2018,Yeah brilliant is pretty 👌 shweet y’know what I’m saying chief? Not even gonna lie it’s pretty Gucci if I’m being honest.
2018,Really have to work your brain for these tests. Not the easy stuff you usually see that doesn’t really test your abilities. This one does and then some. Genius level.
2018,"This app is great, other than the fact that you have to pay to unlock all the courses/ options"
2018,"Challenging problems which expand the thought process and increase learning. Great job,"
2018,"For as much as I’ve used it, it’s been a fun and challenging way to practice mathematics and science. Would recommend to friends and definitely enjoyed using it myself. Only 4 stars, however, because of the premium prices."
2018,The explanations are just as important as the questions.
2018,Thanks for this great app. Helps get the brain going when work gets a little monotonous.
2018,"I subscribed to this service to refresh my memory on some fundamental concepts while also exposing myself to new areas of knowledge. Needless to say, this app is well-designed and flashy. The illustrations and user-interface are intuitive and engaging. However, this app lacks a lot with regards to pedagogy. While the brief lessons allow for quick consumption on-the-go, I think the superficiality of the explanations, examples, and exercises leads to shallow learning. If there were a practice/review tool that utilized a spaced-repetition learning model, I might feel more satisfied with my learning progress. In short, don’t expect the same learning outcomes from this app as you would from a more intensive course."
2018,"It’s an amazing app, it needs a lot more biology and chemistry content tho, most of the science content is just physics."
2018,A plus
2018,Great stuff. Could use more free content though.
2018,Good
2018,I have been really impressed with the breadth of categories to choose from. The solution sections have been great for learning new things or knocking the rust off my math and physics skills.
2018,"I love the app, and the idea behind it, I just wish you didn’t have to pay for the sections. I understand why they did it, but it would be great if it weren’t."
2018,"It’s pretty good, but there should be more detailed courses"
2018,Very good
2018,I love this app for practicing math over the summer. It works great and has challenging questions. The one flaw is the amount it costs to pay for a subscription. It’s outrageously expensive. I would pay for it but definitely not that much. I can still use the free mode anyway and would highly recommend this app.
2018,It's aight.
2018,I think it’s good but there something missing that I can’t think of. There is definitely room to improve.
2018,This app always challenges my way of thinking.
2018,"I love this app, and have learned so much on it. I started using brilliant online to learn math and science and bought the membership before I knew they had an app. It really is worth buying and it’s a great piece of software. As a high schooler, I can say that this app gives you a deeper understanding of the curriculum taught at school. Rather than learning “what,” you are tasked with learning “why.” You are also free to explore more advanced curriculum than is offered in school.

However, I was trying to take one of their basic physics courses, and very quickly encountered instances where calculus was necessary. I’m currently taking the calculus course to prepare myself, but it would be great if the courses had prerequisites listed so people didn’t waste so much time going through the beginning of the courses and wondering why they don’t understand the material. Listing the level of mathematics used in the course, as well as any prior scientific knowledge one needs to be able to understand the course, would prevent people from sitting and looking at the material, wondering if they missed something. I was really frustrated for a good while because I didn’t understand the notation and mathematics used in the course. I thought that I was just missing something, or forgot a piece of information. It took me going back through the whole course to realize I wasn’t loosing my mind and that the material was assumed to be prior knowledge. I’d really appreciate knowing what prior knowledge is assumed before starting a course. Thank you!"
2018,The best way to learn is by struggling through difficult problems and brilliant has many difficult problems to grog away at.
2018,The brilliant app teaches me a lot. The problem is you need to pay tons of money to unlock most of the courses and quizzes.
2018,"Amazing app for learning and staying sharp on my knowledge. I have a BS in Physics and I really enjoy the weekly problems and ‘courses’ offered here. They refresh my studies and keep me sharp. Unfortunately the subscription price is high, but the product is great so it is justified. I have not yet signed on for premium but I still might. I would happily pay a one time price of $100 for it, but i am not yet sold to pay annually"
2018,"The everyday physics, classical mechanics, and special relativity courses are great; however, I would love the app even more if it added the realm of quantum physics."
2018,"Brilliant is really great... But they charge too much for me, someone that enjoys an occasional puzzle."
2018,Really neat stuff.
2018,"The activities are fun and require active learning instead of passive learning (active learning is the only learning imo).  The problem is that the content is shallow and does not go beyond what is given in the quizzes.  I’d recommend asking harder questions that take some time to solve so that the learner thinks more deeply about what they are learning.  With that said, it is a useful experience and I’d recommend it as a first stop for anyone looking to learn a subject that is covered in the app."
2018,"I am just worried I will get through all the material and have nothing left to learn. But it looks like the creators are continuing to add material, so maybe that will not be an issue."
2018,Enjoyable app for learning about anything! Pretty pictures and explanations. Took off one star because sometimes the solutions to questions need to be more thorough. But generally highly recommend!
2018,Very useful for understanding a different multitude of educational disciplines. I would recommend building in a tree linking topics by beginner to advanced.
2018,The only way to keep challenging me is to give me ever changing ways to understand the fundamentals and advanced concepts to of life. Need more
2018,I like this app
2018,It’s good for start
2018,I’ve learned a lot!
2018,The cost to use the full app is a lot. The free version still has some great problems though.
2018,I really appreciate it brilliant gives me so many wonderful ideas.
2018,Just installed Brilliant. I am becoming addicted by the minutes ;-)
2018,"I think that some of the solutions are way more confusing than the problem,l"
2018,Fun stuff
2018,It’s challenging!
2018,Great app to sharpen mind. I only have the trial version and is very fun and intuitive. But the full version is quite expensive for my wallet
2018,Fun!
2018,Great on the pot
2018,"I wish I had this when I was taking physics in college!! Very practical problems with thorough results and walkthroughs. I like how they have the problems sectioned in themes that you can pick based on your interest. 

Download it and enjoy! It’s an absolute blast!"
2018,Some of the instruction doesn’t consider how it could be misinterpreted.  Not saying it needs to be simpler but clearer.  Is there a feature that allows one to go back and focus on missed sections and strengthen weak areas?
2018,"Been brushing up on CS fundamentals. I really like the course. Very easy to learn and understand. The illustrations for some of the algorithms, such as insertion sort, really made it easier to grasp the concepts at hand. It would be helpful for a lot more of the taught algorithms. One that comes to mind is the frog hop Fibonacci question in the recursion section. Some sort of illustration would definitely help illustrate how the described problem is a Fibonacci sequence"
2018,Great sight lots of information on quizzes. But do you really learned it’s pricey! Which seems strange for a .org website?
2018,"I really do enjoy brilliant as I find it teaches a lot of good foundational subjects. However, I would prefer if there were more animated instructional videos with the written descriptions. Most of all, I would really enjoy more subjects such as areospace engineering and mechanical engineering."
2018,Great
2018,"The app offers a vast range of subjects, and gives a good overview of every one. While it may not be best to try and learn from nothing with this app, as a tool to review and catch up in a difficult class it is great."
2018,"I like his app a lot, good for students who want to improve math skills and learn more in general! I don’t like for some things though you have to have premium😐 Over a great app"
2018,The only reason I didn't give it 5 stars is because they charge up to $24 a month for the full featured version. Even $10 a month is too much for an app.
2019,"This app has amazing courses, some of the courses have a better explanation than others. For example, the logic course is amazing and very useful, in the other hand calculus done right needs a little improvement because the way they explain some key concepts are rushed and fussy. However, you will enjoy it and learn from it. I would recommend it to those who are into math, science and want to improve their knowledge on the matters. Don’t buy if you don’t have time, I bought the year subscription but I’ve only used it for the time gaps that I have between college terms, so consider time!"
2019,Nice organized. Easy to kill time with.
2019,"I love this app. I’m doing the logic lessons and they’re fun. 

A couple issues: sometimes I have to click buttons twice for them to work. Also I find the navigation disorienting sometimes. When I go to “show explanation” and then hit close I end up somewhere else than I thought I would go. And when I leave the app and come back it’s hard to find where I left off."
2019,"I was actually thinking about getting an old math book just to keep my brain sharp, when I saw this app. I only take away one star because not all of the written answer solutions are clear yet. Also, some of the questions require pen and paper. I wish there was a scratch paper feature within the app."
2019,Especially now that it’s available offline
2019,I would want to see more topics like history and philosophy. i think it would make the app much better
2019,"I really enjoyed the mini quizzes, though I didn’t understand some of the material I still gained a lot of information in some of the explanations. 
My *only* complaints are: try not to be so vague on some founding principles if at the beginning of the course if it says “Not to worry! You’ll learn about it in chapter so and so...’’ but then don’t explain the fundamentals if the course is for absolutely beginners? 🙄🙄🙄
Secondly, let us know we have to pay for the course before hand! Please let that be included at least in the introductory section, gave an option to buy the full package. Really took me by surprise, I’m sure others as well. 
Otherwise I really enjoy the app. I’m going to buy it only because I have no doubt it would greatly improve my understanding and comprehension of material. Thank you all for developing and writing the content of this app."
2019,"I’d want to be able to “save” questions so that I can review them later when I get a chance. The web version has that functionality, but the mobile app doesn’t."
2019,This is a good review or to learn something new. Keep up the good work.
2019,Great game alternative to other builder type games that isn’t too complicated and is easy to play.
2019,"As far as Brilliant.org goes, it offers a diverse range of topics to do courses in. The good part about Brilliant.org is that instead of memorizing some formulas which you are probably going to eventually forget, you use intuition to understand the complex parts in these various courses. The only slight criticism I might have is that inside the courses, they only offer quizzes, not articles or lectures to read or listen to, but otherwise it’s a very good app for learning mathematics, technology, biotechnology, physics, and science."
2019,I do about as well on Brilliant quizzes as I did in High School.
2019,"This app is a very good learning tool, I would recommend it. Only thing, the examples of problem sometimes are hard to understand"
2019,It’s a good app for high school students
2019,"I really liked the lessons that I did. Sometimes with things like this it is difficult to strike a balance between childishly easy and face desk hard. However this kept me engaged and I was able to learn to think through the problems for myself. However to me it is not worth paying $120 a year, especially as this is just a thing I do in a five minute break. I would rather do Khan Academy for five minutes and that’s also free. I would definitely use this app if there was a full version driven by ad revenue that didn’t require payment. Ads are annoying to most people but I don’t mind if the product provides value to my life."
2019,"It’s really worth downloading!!! So many subjects, explanations, information, and more!!! Best app for smart people and nerds🤓 (not that nerds are bad. It’s actually 😎 being one!!!). The only 2 things that I would like added and changed is something about biology and have all subjects being usable. But that will never happen because I know app makers need money. Really worth downloading!!! I’m 11 years old and it’s summer vacation right now. If you’re a nerd like me and enjoy learning about cool, new stuff, then download this app and spend a part of the day getting ready for middle school and learning new stuff!!! ❤️ this app!!!"
2019,"I would definitely recommend this app (great job on the appearance of the app by the way. I like how simple it is.), because I love this style of learning. I have been using it for a few weeks now to understand Algebra concepts better, and it’s been working pretty well. I love how fun and interactive the quizzes are, and I love how you can just jump around and look at a whole load of different subjects without having to level up or something too. Now, I have given this review 4 stars though, because I find some of the explanations too complicated or lacking in clarity. Overall though, it’s a great learning tool, but for some of the subjects I feel it’s better to learn it the old fashioned way and then use Brilliant to really clarify your understanding and anchor down your skills once and for all!!!"
2019,The app is absolutely amazing but I wish i could just buy premium for a price and be good instead of having to keep paying for this every month.
2019,I’ve only been using the app a couple days. The content is good and it appears there is a lot of free content. The monthly subscription is very expensive. That leaves me with mixed feelings.
2019,"I personally am more fond of listening to lectures than reading a lesson on my own, and because of this I sometimes can find myself mindlessly grazing over a lesson without truly learning it (yeah yeah, I’m in a minority I get it)... But unfortunately, for the week or so I’ve had the app I haven’t found a lesson which has an auditory option or something that fashion. I fully understand how insignificant this problem may seem, but with a $100 annual payment I would expect my money to be going to a learning platform which can cater to my specific learning style, perhaps with a 10 minute in-depth explanation on a topic or even a whole lesson if I my attention is divided (for example if I wanted to listen to a lesson on my way to work).
 Other than this minor problem I’ve experienced with the app, I have enjoyed the engaging lessons and in-depth explanations. I would absolutely recommend this to anyone, especially if the visual examples and written lessons are the way you personally prefer to learn. Although for those of us who prefer an auditory method of learning it can be difficult to fully take in the information in an easily digestible way. 4/5, needs more lessons in my opinion (more are coming so it’s not a terrible problem) and a way to keep learners of all styles engaged in every lesson. Great app :)"
2019,downloaded it and i thought it was going to be normal but it actually exceeded my expectations. if your thinking about downloading for high school or whatever like legit do it. we all know this review is voluntary - download it.
2019,Love the puzzles and the ability to discuss and ask questions afterwards
2019,I CAN’T WRITE A REVIEW. I’m new!!!
2019,Mostly great.  Some questions had insufficient information which made the answers tougher.  Great
2019,It is very good now ...as it gets more adaptive it will even be better
2019,Please add a dark theme so it won’t scald my eyes.
2019,The problems are challenging but accompanied by nice explanations.
2019,It's so nice and good app
2019,"The product is solid quality, but I believe the price is excessive because much of what Brilliant has to offer can be found for free online. The value-added is just in the comprehensive organization, but there are still many topics left uncovered. If they were to double the number of topical modules, a price of ~$25 per month may be justified. However, in its current state I feel that is excessive."
2019,The only reason it’s not 5/5 is i wish you could do more courses without paying
2019,Wish more of it was free
2019,"The challenges are great and they are a lot of fun, but some of the lessons are a bit wanting. I wish the instruction was more thorough. I admit that I’m a bit daft. Still, a very worthwhile app."
2019,It should give like little lessons and if you miss a question you had to answer another to go to the next bar
2019,My only request is that you can be able to have a save feature I will change the review to five stars if that happens
2019,"The app presents some interesting scenarios and problems that I would not have encountered otherwise. I’d like to see a physical book of these problems at some point, a la Logitica (If you enjoy this app, check that out for some more puzzles and problems). While the app is good, and I may well be in the minority, I think I retain information better when it doesn’t come from a phone."
2019,Overall Brilliant has great lessons and incredible value. Sometimes there are issues with things being unclear and needing better interactions or animations.
2019,"Been using to practice logic tests as regular  brain workout in a matter of speaking; to help with my attention to details.

Working in finance I wanted to brush up on my calculus and differential equations. Soon realized I’m going to need to go back and take early courses that I did in college just to jog my memory to understand differential equations

Overall it seems good. I would like an audio component not just reading. To accommodate the small minority of people, who’s auditory memory retention is greater than visual"
2019,"Great app. I love it, but after a while you have to pay for a membership and I just don’t have extra money to spend. But it is a great way to learn things"
2019,"Great app, displays creativity but expensive"
2019,"I’ve been using Brilliant for exactly a year now, and have solved more than 8000 problems by now. Brilliant really changed the way I learn math, and many courses are particularly well-written. I also like that they’re supporting many science YouTubers. However, I sometimes complain that the CS courses here are relatively shallow, and new courses have been slow to develop (the advanced algorithms course and the Python course, for example). Also, the app seems to take up a lot of memory on my phone and occasionally causes it to black out."
2019,"Just checking out the app so far, ever wanna “twerk” the mind a little, get the app!   Lol
Premium seems a little costly, but without premium so far has been intriguing, and the app is not constantly bombarding you with advertisements and plugs for primium. Very pleasant and at your own pace puzzles!  Thanks Brilliant team, doing good stuff, keep it up!"
2019,Great
2019,"The only problem that I have is with the latest update, the daily problems don’t show properly specially with the tables. I hope you guys fix it soon this amazing app"
2019,It helps you learn math and other skills.
2019,I’m currently in the free trial. I have several apps similar to this. This is an expensive app but it seems well coded and logical so far. I’d give 5 stars if it was less expensive.
2019,"As a college student, there’s no way I’m going to be able to afford the payment plans."
2019,Most of the Astronomy classes r locked.
2019,Some sections are difficult for a layman but others are educational and fun. Well put together.
2019,"The brilliant app is great except it’s missing one key feature. If they added Apple Pencil support so you could write on the screen it would be soo much easier than having to use split screen and notes. Other than that, this app is amazing!"
2019,This app brings topics that I didn’t even know about let alone think about
2019,See above...
2019,I love this app. I can learn anywhere I go.
2019,I like it but I wish there was a built in calculator or more reading support for dyslexics.
2019,This is a wonderful app and learning site but I wish they had more examples that I cloud understand. Other wise great app. 4 star 🤩
2019,I am going to make a review of the app for my college mates. Could you please give me a subscription for free? It’s my birthday today. Thank you!
2020,"I’d give it 5 stars, but it forced me to leave a review."
2020,"Nothing against mobile games, I have played a LOT of them over the years. I’ve recently switched to “games” that provide more mental exercises. Brilliant does a great job of teasing you with problem solving concepts through puzzles. I can’t seem to bring myself to go premium due to the high price tag and knowing that I cannot get my monies worth without being on the app more frequently. So, the daily free puzzles will do for now. Also, I’d like to think of myself as a self starter, and if I’m truly going to invest in learning a topic, I wouldn’t rely on on app to get me along. So, this to reduces the likelihood that a premium membership is worth the price to me. This is just my opinion, as I do appreciate the work and effort that goes into this service, and would likely go premium if it were less expensive."
2020,"I love the concept and this is my second year subscribing. My biggest complaint is that unlike other learning apps (e.g. Duolingo), there is no consequence for not opening the app...ever.

I would love the Brilliant team to implement some system such that I feel motivated to progress in my lesson, daily. There is a reminder mechanism for the daily puzzles, but I don’t pay for the daily puzzles and actually want to follow and be held accountable to a curriculum."
2020,Fun and challenging
2020,"I threw an twist when doing the Fibonacci one where I added all the terms up to the term that I’m adding. That why my answer is the 18th, because I was adding up all terms until a term."
2020,I like the exercises but I wish they would teach better before doing them.
2020,L
2020,"Love the content, some of the best curation, design, and pedagogy of all educational platforms of all time, however, I believe all educational platforms should be non profits, and still pay their employees very well to continue producing this high level content, but not try to gate learners behind a huge price tag that many potential future engineers and scientists could never afford."
2020,"I’m really enjoying the free content, especially since it’s ad free as well. But I won’t be paying $120.00 a year for this app. If they brought the price down or offered a monthly plan I’d probably pay then, but a lump sum like that is just too much."
2020,"i have so much fun with this app, but i can’t afford the subscription! if the price was more like $60/yr i would definitely buy.
also, i get that the app is mostly STEM-centered but just saying i study philosophy, politics, and economics and would LOVE to get some lessons in those subjects in the fun format of this app"
2020,"Wonderfully designed app with wonderfully designed lessons. Still, $25/month subscription model just seems so steep! I hope they’ll change their subscription model to include a $10 a month plan to lower the pay wall for most who can’t make it over on the current model.

Frankly, although it’s a great product, who except white collar professionals at minimum can afford to pay into the current model? I hope you’ll take a model more friendly to the people."
2020,Nice App
2020,"Aside from the odd poorly-worded question, is an excellent learning tool; I passed a class thanks to this app."
2020,I really love this app because it has so many fun puzzles with a lot of diversity. The daily challenges are so much fun to do and in my mind the best ones are the logic problems. I would definitely recommend this to anyone. I would put five stars for this any day but the free version of this app has only a little bit of content and personally I think the content is a little too hard for me to learn too much.
2020,"During my free trial, I decided Brilliant was not for me. Unfortunately, I missed canceling my trial by an hour and was charged a whopping $119 for a year membership.

I left a review explaining why I was upset, the support team responded, we emailed each other, and they have decided to issue a refund.

I initially gave a 1 star review because of having such a large surprise amount charged to my account (a surprise because I thought I would be charged for a single month, not a full year at the end of the trial if I were to not cancel in time).

Because the support team responded quickly and professionally, I am happy to raise my review to 4 stars, because I do think the world could use more math and science! I however find the payment/free-trial method a bit controversial. So until they decide to change their model, I can’t feel comfortable leaving any higher of a review.

My recommendation to Brilliant is to give people a 7 day trial without charging the payment automatically upon completion. Send out a reminder message that the trial is ending. Maybe consider giving a discounted price if they purchase during a free trial. Let the user feel in control of their decision!

Thank you for understanding, and giving me a refund. I do appreciate that very much and wish you all well! Best!"
2020,This is AMAZING!!!! Only thing I say is this is mainly recommended for high school and older.
2020,"I like how concepts are interactive, it provides a more hands on approach to learning and taking advantage of technology"
2020,It’s a great app and I only wish they had more categories and subjects.
2020,Very informative
2020,"I thought I’d just play with this for a week for the free trial but I am genuinely considering subscribing. The puzzles are great (although somewhat familiar to anyone who enjoys recreational mathematics) and the progressive difficulty is well planned. 
What would be nice is a scratch pad, or to be able to write on the page. (I’m using an iPad.)"
2020,"There are some lovely simple animations, sliders for limited movement and elegant transformations. That can be entrancing."
2020,I’m still in the exploratory phase with this app to see if it’s actually worth $150. It seems kind of high but when it comes to growth through self education it’s priceless. I will continue exploring and provide an update once I have drawn my conclusion.
2020,Could have link some explainer videos though- maybe collab with KhanAcademy?
2020,Fun when I can log in
2020,"These courses are very helpful.  That said, the usefulness of the app (and even its fuller-featured web version) would be greatly improved with a few added features.  In particular, I often find myself wishing I had the ability to “bookmark” or difficult problems in a quiz so that I could easily track which concepts I need to work on and return to them at a later date.  This could go hand-in-hand with an improved dashboard page that gave a more granular view of my progress through the various courses.  A highlighting feature would be nice as well.
Beyond that, I’ve been quite happy with the app."
2020,"Upsides : the future of education
Downsides : this is a great way for big data inc. to mark down if you are an idiot or not. And since it’s free guess who is keeping the lights on at brilliant.org."
2020,Brilliant is one of my favorite apps to go to if I want to learn something new. My favorite courses are the Logic and Logic 2. Brilliant offers thorough lessons and courses on anything you want to learn. The only reason it is not 5 stars is because of minor bugs and how expensive the premium version is.
2020,"I’ve been playing for 2 days now and I like the challenges so far. It will keep me busy and exercise my brain for a while. The explanations are helpful and I wish this tool was around when I was in school. My only issue is when I was finished with a few puzzles I put my phone away and later when I went to continue where I left off the puzzles were there with my answers in place yet didn’t seem to register. I tried to continue but it wouldn’t let me. I clicked explain and it counted the puzzle as unsolved, ugh. There goes a perfect score on this challenge. Overall I’m happy with the game/tool."
2020,"Well, I like a good challenge, and this is proving to be a big one for me. But I’m keeping at it if it kills me!"
2020,"I love all the quizzes and courses to take, but I feel like it is missing some science courses on biology as well. There is one course of ‘Computational Biology’ however it’d be wonderful to have a more in depth courses about other parts of it as well.

Also statistics on your own progress don’t seem to be as obvious until you manually go to your profile settings—rather than your results instantly popping up after a quiz.

But overall, I’m really enjoying Brilliant with all its features in premium!"
2020,"I don’t know about using brilliant on my phone or laptop but interacting with the brilliant app is quite uncomfortable when using split screen. Whenever I’m browsing the course library on landscape mode or portrait mode and select a course to preview, the course overview and course sections vertically split the available screen real estate. It produces a very unflattering squished layout in which reading the course overview or seeing the various sections of each “chapter” is an uncomfortable experience. I don’t need to continue seeing course overview after I’ve read it once. I believe the course overview and course chapters shouldn’t be split and instead should be static at the top of the page in order to use the whole page real estate to comfortable horizontally scroll throughout the chapter sections (Think of the Netflix app for example, the main show they’re promoting at the top and different shows are scrollable horizontally, it would be quite annoying if we had to forcibly see the show they’re promoting everywhere as we continue scrolling down/ up while browsing).

Other than that brilliant is amazing, I would just like it to be more split screen friendly on mobile devices."
2020,"I’m in 5th grade and this app is amazing, I mean I’m learning how to code! The only problem is that most things are locked, like I love logic puzzles but it only let me do 3 levels of it. If you have interest in math, science, and technology this app is for you."
2020,Incredible variety of Topics
2020,"Well, nothing else to say."
2020,"I like to start my mornings with a challenge. The UI is very simplistic and clean, takes away any distraction and solely focused on the problem. The aesthetics is very pleasing which makes it fun to learn."
2020,It has cool puzzles and provides many different courses
2020,The lessons are usually interesting and the games are fun!
2020,One bug that I’ve found is that I have two courses that have been completed but don’t have the green check mark. I’ve tried redoing the last lesson but nothing seems to make them “complete”. Help!
2020,"I have just downloaded this app and started using it today and it’s good but the app keeps on crashing, there’s no update, I changed my WiFi connection twice yet this problem keeps on happening. How can I fix this issue cause I’m really interested ?!"
2020,Haven’t experienced everything the app has to offer so I would be ill advised to give a 5 star as of now.
2020,"However, ease of learning and interactivity are only half I of what I’m looking for in an educational app. If Brilliant really beefed out its educational game offerings and number of subjects to learn and depth of those subjects, then I won’t hesitate to renew in 8 months. -Adult Learner/Higher Ed Learner"
2020,The program seems to stay just in front of my rusty memory.  Learning new things and recalling all the stuff from so long ago is a lot of fun!
2020,"I love the education on this app. Some topics are great for me just for general learning and others are great to help my 10 year old daughter understand concepts in ways that weren’t taught in school. 

I honor their business model and appreciate the value. Buuuuuuut, it’s really expensive. I keep waiting for a 50% off sale and the I’d buy the annual pass. @Brilliant - don’t keep me waiting, please!"
2020,"After just a week of using brilliant, I started getting 100 percents in alll my tests, but the only issue is the subscription cancellation"
2020,"The app isn’t the multimedia learning tool that is the free web version of khan, 3blue1brown Wikipedia etc. but it is getting better and combines enough for the 100 dollar subscription"
2020,Cool app
2020,Love it!
2020,Brilliant is one of my favorite apps. The content is amazing and the daily challenges are fun and always intriguing. The only issue i have with it is the price which is a little on the high side.
2020,"I was happy to download the app but was unable to use it due to having to register with Facebook, google or your email. I personally don’t like having to register in the manner that is requested but after speaking with the developers, they explained that this registration is necessary in order to protect against piracy issues. I understand where they are coming from and if you don’t mind registering, then perhaps this app can be an excellent study resource. I gave it a 4 star review only because I did not get to use it and I do not want to register, however I am sure the app itself is great and might be worth the 5 stars. Good luck!"
2020,I use it daily for self enrichment: however it’s recently stopped working on both my phone and iPad.
2020,"It’s excellent except courses should probably have video lectures!
Thank you for all your efforts to bring us this cool app!!"
2020,"A smart game to challenge your mind. A great and convenient prep for standardized tests. However, you can only play the introduction of each course. You must pay a monthly fee for the whole app."
2020,I know they deserve to be paid.... I just don’t wanna do it 😭😭
2020,I like it.
2020,Thank you Brilliant Developers! Hugs to you!!!
2020,"It is speculated by scientists that math is the “language” of the universe. I am intrigued by outer space, how infinite it is.
I recently viewed a infomercial on a scientist who studies snow. They showed snowflakes, and how no two are alike. The
other side of the coin has to deal with outer
space, in particular intelligent extraterrestrial life. 
Here’s my observation: I watched a segment on Crop circles and how they may be a form of communication, by there geometric angles, and so forth, and I when I saw the snow study some of the flakes resembled the crop circles. Coincidence? or more communication? Something to think about.."
2020,"A little expensive I think, but this is an app I have been looking for for a long time."
2020,Fun and addictive learning app.
2020,Learned a lot !
2020,Good
2020,Not used it enough yet to really take it all in but I like what I have done so far
2020,"Goes in depth, gives every-day life examples. Expands your thinking. Already like it and I just started using it."
2020,It’s nice to see software geared towards thinking instead of killing. I only wish there was a middle ground between the free content and the subscription. I wouldn’t pay that much for productivity software. I certainly won’t for entertainment.
2020,🕯🙏🏼
2021,It’s a lot of money for a student.
2021,"I love learning, so the drive for my curiosity to be quenched is awesome. I recommend— I’m probably going to end up buying the premium one because I enjoy learning so much."
2021,"This is an Interesting App, but the explanations should be more informative."
2021,"Hey, could you please introduce a dark mode? I think that is one feature that is missing from Brilliant. Thanks."
2021,I think my iq dropped but in a good way 😁
2021,"It’s all there in the title. Just an incredibly well-assembled, beautiful, lucid intro to various STEMmy concepts… but not one the layperson can comfortably afford at $25/month. Khan Academy and other free resources maybe messed up the market, alas.

Also sometimes the sliders, interactives, etc., don’t work on a late-model, newish iPhone."
2021,It’s a great resource for getting started with the basics of math and science.
2021,It’s unfortunate we have to put a pay gate in front of knowledge.
2021,Super
