year,review
2015,"This app is basically spam. It's a fun brain challenge, but the emails and pop ups are beyond annoying, and it won't let me unsubscribe."
2016,"Not just the first, but the second pop up!"
2016,This app is the worst app I have ever downloaded in my entire life.
2016,"Ever since installing the app, my email is flooded with all kind of spam. The whole point of the app appears to be to sell your name to lists of poor quality, and uninteresting, advertisers. It's impossible to adjust this setting *in* the app - maybe online...and it annoys the heck out of me. App also decided to re-install itself after I deleted it for the first time. 

I got the app as I knew one of Brilliant.org'a founders from his contributions to math stackexchange, where he seemed reasonable. I would have never guessed he'd produce such low slime."
2016,Some of the questions have multiple answers that will count as wrong.
2016,"Great idea, but (expensive) in-app purchases make learning difficult for users and defeats the purpose. Maybe revenue could be made through ads."
2016,"Why is it that everything want access to your Facebook account or to your email? I choose to log in through gmail, because I don't want these stupid apps posting things on my Facebook page, but I guess gmail and google+ aren't the same thing, so it won't allow your. You're an app, not a social network, stop forcing us to give you our information."
2016,TMI: requires registration to read the privacy policy or try the app. Deleting the app is the best choice.
2016,Dont get this app. I have unsubscribed from the email list numerous times and they still spam my inbox with their crap.
2016,All apps that require the user to create an account before they can see what the app offers are crap and get one star because I can't give zero stars.
2016,The new update is failure.
2017,"I originally got this app, because I thought it would be fun brain teasers that I could do in my spare time. It's not. The problems jump from easy to difficult and rarely are there problems you can do in 5 spare minutes. I'm not saying that's the case for everyone, but the problems are such that even though I've taken ode's I can't just brain my way through them, and as a student I don't have time to write them down with pen and paper. If you do have that kind of time, great, but it's not what I had expected from what was advertised."
2017,Why can't you buy a pack of gum these days without a follow-up survey about he experience?
2017,I keep trying to use the app but it won't load. I've restarted my iPad so many times but it won't load. If I could rate it lower I would.
2017,"More than once these Brilliant.org ads have no solution, yet they say that 37% of people get it right. This just triggers me in so many ways. You have so many advanced topics yet these mistakes are shown."
2017,"I was charged for an extra month. Of course, subscription info is buried so deep on the website that I was only able to find it via a link in the help forums. There is no visible record of your subscription, i.e. no dates listed. Finally, I wasn't able to find an email address or phone number to actually talk to someone."
2017,But it is so full of bugs it gets really frustrating working with it.  How about testing it thoroughly before release??
2017,"Buyer Beware that when you purchase the $5/mth... it's actually $60 up front for a year.  Also they force you to setup for auto renewal in hopes that many will forget. With the first $60 deal you are not entitled to full access.  The curriculum topics require more $ to sign up for ""premium"" after that.

Good app, but financially this is a scam."
2017,"All the equations appears with HTML tags in plain text. Please fix it. 
It would be also good to have a way to report issues directly to you instead of using Store review."
2017,"I hate apps that force me to do a review. Most apps give you three option: 1) I like the app, thus ask you to do a review 2) I don’t like the app thus, ask you for feed back 3) option to opt out. #3 is important as I like to wait and use an app for a while.

It’s too bad to as I was liking the app and seriously thinking of subscribing. Now I’m not sure, because this is a sign of marketing tactics I don’t like."
