year,review
2015,"I was having fun with the app and solving the problems until I realized you have to pay for so many things, especially the description to the answer which is frustrating when you don't get why the answer is what it is"
2016,why do I have to pay for solutions? I enjoy learning and keeping my brain active throughout the day. However I like to know that I'm doing my math and such correctly!
2016,"This game does have good puzzles and really challenges you but you don't get to do much without their membership, which is expensive"
2016,"This would be a good app If some of the answers were correct. They say my answers are wrong sometimes when they are clearly correct, please fix this"
2017,"Great app, fun and makes you think. But I can't read some text on the borders"
2017,"The linear algebra module in quantitative finance is lacking a lot of basic explanations.  In discussing the determinant, there is a problem asking what is the determinant of (AB)
 ...  and under the solution it says ...

det(AB) = det(A)det(B)= ((1)(3)-(-2)(1))((2)(1)-(4)(-1)) = (5)(6) = 30

 yet there was no previous explanation in the module of how to calculate the determinant of an individual matrix, i.e. the determinant of A or B. 

Does the person using the app already know how to calculate the determinant?  Will they be able to figure it out by looking at the solution? The way it is written, it is almost like saying that the reader should know.  I feel that is big assumption to make.  What happens when someone is on that module and they get stuck because they don't know?  They may not dig any further and see how to calculate an individual matrix determinant by looking closely at the solution.  Additionally, the next page on the transpose of a matrix repeats in the same fashion, briefly mentioning what a transpose is but having no explanation it how to do it until the vague solution.  

Another issue is the rate at which you guys are completing the modules.  For example, only recently have new modules opened up in the machine learning section, yet it has been sitting there tantalizingly for months.  I have to ask as to the  reason behind this.  Is it financial?  Are you guys stringing people along in the hopes of more profit because of longer subscriptions?  This all quite frustrating because I really feel these oversights are hindering the potential of the Brilliant app.  I like to think that you guys are patiently brainstorming and revising to develop a quality project, but when I look at the quantitative finance section for example, it feels sorely lacking in the depth of material.  It looks like it was put out without good crosschecking and proofing.  

It feels like the developers are being perfectionistic when it comes to releasing new modules.  My recommendation is that you put out what might be partially finished and ask for user input. You have whole community that can help develop these modules - why not tap into that more?"
2017,But shouldn’t be so much money for a membership. I’m sticking to the free problems
2017,Costly
2017,"The problems have little learning content associated with them, and sometimes the answers submitted by the ""crowd"" are wrong. Example: if the solution to a problem involves exponents  squared, the solution doesn't always teach the student the fundamentals of exponent manipulation. BRILLIANT is a good idea, it's execution is lacking, a problem common to the vast majority of apps."
2017,"This app is great from a material standpoint. The coverage is broad, high level, and well conveyed. However at 20 dollars for a month by month subscription it's just too expensive. I wish the app had the option to just let you purchase individual topics."
2017,This app throws you into doing questions without much prep or explanation. You could learn by hitting Solution to the first few problems but by then the section is halfway over. Is that how they want us to learn though? Maybe I’m missing something here about how you’re supposed to use the app.
2017,It’s a very neat app lots of good content and interesting questions and games. That being said I think the price is just impossibly high. I paid for a year because I really enjoy this type of thing and I know that I will use it. I think they should add the option of buying courses individually so it’s not 80 bucks or trial content. Not much flexibility there.
2018,"It is a good app it has helped me with a lot of things. You don’t always show me what your supposed to do for a question... it’s silly. And even when I get have of them wrong I can’t really do it again because I know answer. But, other than that it is a good app."
2018,"One little flaw though in my opinion.
Some of these questions are a little ridiculous or poorly explained to your average person. (I have tested multiple quizzes on my family and friends)... brilliance also records this and makes my intelligent seem a lil low... lol. Result making this app come off a lil completive. When all I wanted to do was have fun learning"
2018,"It does teach you things that are rather helpful, but it only gives you one lesson per category, the rest need to be paid for, which is a ton a crap in my opinion."
2018,"Great problems and pedagogy, the 3 star review is related to the limited functionality of the app. For the iPad version there is a lot of white space below the practice questions, currently I have to switch between the brilliant app and a note app to write down solutions with a stylus. I would be more inclined to use the app if this space could be a “scratch paper” space to solve equations etc."
